City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,Ushtobe,45.2514,77.9838,67.15,28,39,13.94,KZ,2022-07-25 23:45:44
167,Bor,56.3567,44.0669,62.53,94,68,4.16,RU,2022-07-25 23:45:45
168,Coos Bay,43.3665,-124.2179,84.31,81,0,18.41,US,2022-07-25 23:45:43
169,Tura,25.5198,90.2201,73.31,98,100,3.56,IN,2022-07-25 23:45:46
170,Puerto Rondon,6.2805,-71.1,73.09,87,50,3.65,CO,2022-07-25 23:45:46
171,Barrow,71.2906,-156.7887,37.42,87,100,31.07,US,2022-07-25 23:45:26
172,Aksu,41.1231,80.2644,80.29,23,6,4.79,CN,2022-07-25 23:45:47
173,Kuzino,57.0224,59.4412,57.72,94,12,1.74,RU,2022-07-25 23:45:47
174,Neryungri,56.6709,124.6491,75.13,60,8,3.15,RU,2022-07-25 23:45:48
175,Robore,-18.3333,-59.75,77.9,34,3,4.29,BO,2022-07-25 23:45:49
176,Culebra,18.303,-65.301,82.49,97,90,14.0,PR,2022-07-25 23:45:49
177,Bathsheba,13.2167,-59.5167,81.21,93,40,12.66,BB,2022-07-25 23:45:49
178,Luanda,-8.8368,13.2343,69.8,94,75,5.75,AO,2022-07-25 23:45:50
179,Baculin,7.4525,126.5842,79.81,82,100,3.94,PH,2022-07-25 23:45:50
180,Chifeng,42.2683,118.9636,76.75,64,87,9.08,CN,2022-07-25 23:45:51
181,Mahajanga,-15.7167,46.3167,68.02,83,20,4.61,MG,2022-07-25 23:45:51
182,Teya,60.3778,92.6267,56.59,98,100,2.28,RU,2022-07-25 23:45:52
183,Brcko,44.8728,18.8083,65.77,38,0,4.05,BA,2022-07-25 23:45:52
184,Turhal,40.3875,36.0811,57.42,88,0,1.57,TR,2022-07-25 23:45:53
185,San Policarpo,12.1791,125.5072,82.18,75,99,5.97,PH,2022-07-25 23:46:53
186,Paita,-5.0892,-81.1144,64.22,87,24,16.42,PE,2022-07-25 23:46:53
187,Acapulco,16.8634,-99.8901,85.82,66,40,9.22,MX,2022-07-25 23:46:54
188,Lima,-12.0432,-77.0282,63.9,78,100,13.8,PE,2022-07-25 23:46:51
189,Hambantota,6.1241,81.1185,78.17,85,100,11.07,LK,2022-07-25 23:46:54
190,Healesville,-37.65,145.5167,50.9,87,98,3.56,AU,2022-07-25 23:46:55
191,Pangai,-19.8,-174.35,80.71,61,20,14.97,TO,2022-07-25 23:46:55
192,Galesong,-5.3166,119.3661,73.42,73,43,5.03,ID,2022-07-25 23:46:56
193,Mahonda,-6.45,39.4667,73.51,75,67,17.16,TZ,2022-07-25 23:46:56
194,Georgetown,5.4112,100.3354,77.95,94,20,3.44,MY,2022-07-25 23:46:57
195,Cherskiy,68.75,161.3,54.14,42,91,9.86,RU,2022-07-25 23:46:57
196,Dondo,-19.6094,34.7431,71.11,87,96,5.82,MZ,2022-07-25 23:46:57
197,Tema,5.667,-0.0166,77.41,83,20,10.36,GH,2022-07-25 23:44:38
198,Torbay,47.6666,-52.7314,69.76,92,100,21.85,CA,2022-07-25 23:46:58
