City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
158,Constitucion,CL,-35.3333,-72.4167,54.59,70,0,9.31,clear sky
159,Bandarbeyla,SO,9.4942,50.8122,76.17,82,74,26.8,broken clouds
160,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,93,20,20.71,few clouds
161,Nabire,ID,-3.3667,135.4833,75.11,94,72,4.12,broken clouds
162,Holland,US,42.7875,-86.1089,77.2,64,40,8.05,scattered clouds
163,Pravda,RU,46.9396,142.009,66.96,83,71,2.71,broken clouds
164,Clyde River,CA,70.4692,-68.5914,39.43,93,100,10.36,light rain
165,Provideniya,RU,64.3833,-173.3,50.36,93,100,7.0,fog
166,Basco,PH,20.4487,121.9702,84.36,77,77,10.63,broken clouds
167,State College,US,40.7934,-77.86,81.52,73,40,6.91,scattered clouds
168,Suez,EG,29.9737,32.5263,78.21,62,0,11.52,clear sky
169,Olkhovka,RU,53.2115,60.6069,55.58,89,98,10.13,light rain
170,Hasaki,JP,35.7333,140.8333,82.8,84,48,12.35,scattered clouds
171,Cafelandia,BR,-21.8025,-49.61,73.08,28,22,4.9,few clouds
172,Zavyalovo,RU,54.5053,82.4484,56.73,92,62,7.14,broken clouds
173,Jinchang,CN,38.4953,102.1739,72.79,28,7,8.48,clear sky
174,Bubaque,GW,11.2833,-15.8333,79.88,82,45,13.62,scattered clouds
175,Englewood,US,39.6478,-104.9878,79.14,52,75,16.11,broken clouds
176,Margate,GB,51.3813,1.3862,63.7,75,85,4.0,overcast clouds
177,Guarapari,BR,-20.6667,-40.4975,72.9,82,35,16.26,scattered clouds
178,Makakilo City,US,21.3469,-158.0858,86.32,51,0,18.41,clear sky
179,Rocha,UY,-34.4833,-54.3333,47.73,80,96,14.41,overcast clouds
180,Kalmunai,LK,7.4167,81.8167,76.44,92,100,3.04,light rain
181,West Wendover,US,40.7391,-114.0733,99.61,12,0,11.5,clear sky
182,Buchanan,LR,5.8808,-10.0467,74.3,74,71,7.18,broken clouds
183,Bilma,NE,18.6853,12.9164,87.13,48,100,22.75,overcast clouds
184,Shimanovsk,RU,52.0,127.7,67.19,98,93,3.8,overcast clouds
185,Camopi,GF,3.1655,-52.3158,75.0,92,98,2.89,moderate rain
186,Davila,PH,18.4726,120.5763,76.98,81,93,3.36,overcast clouds
187,Burgersdorp,ZA,-30.9977,26.3286,55.22,61,81,21.3,broken clouds
188,Nola,IT,40.922,14.5329,81.39,79,4,3.38,clear sky
189,Marzuq,YE,14.4,46.4667,82.44,44,69,6.35,broken clouds
190,Potsdam,DE,52.3989,13.0657,66.11,52,72,7.07,broken clouds
191,Gat,IL,31.61,34.7642,84.4,76,0,4.72,clear sky
192,Guerrero Negro,MX,27.9769,-114.0611,78.48,57,29,15.19,scattered clouds
193,Touros,BR,-5.1989,-35.4608,76.37,81,6,13.0,clear sky
194,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,81.73,35,0,2.53,clear sky
195,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,93,100,10.36,light rain
196,Fairbanks,US,64.8378,-147.7164,63.23,56,75,11.5,broken clouds
197,Ponta Do Sol,PT,32.6667,-17.1,74.71,84,1,2.39,clear sky
198,Sinnamary,GF,5.3833,-52.95,78.31,86,81,7.65,broken clouds
199,Rio Gallegos,AR,-51.6226,-69.2181,42.85,65,0,25.32,clear sky
200,Ilulissat,GL,69.2167,-51.1,51.82,62,40,5.75,scattered clouds
201,Hanzhong,CN,33.0728,107.0303,68.49,70,0,1.3,clear sky
202,Guaymas,MX,27.9333,-110.9,85.37,79,100,10.36,overcast clouds
203,Wanning,CN,18.8003,110.3967,78.98,86,25,5.97,scattered clouds
204,Esperance,AU,-33.8667,121.9,56.84,85,37,12.91,scattered clouds
205,Susanville,US,40.4163,-120.653,102.04,11,0,9.22,clear sky
206,Sisimiut,GL,66.9395,-53.6735,44.15,77,99,4.79,overcast clouds
207,Narsaq,GL,60.9167,-46.05,57.42,63,32,4.25,scattered clouds
208,Leshukonskoye,RU,64.8989,45.7622,62.74,97,86,0.36,overcast clouds
209,Caravelas,BR,-17.7125,-39.2481,69.3,81,0,6.55,clear sky
210,Norman Wells,CA,65.282,-126.8329,68.04,40,75,5.75,broken clouds
211,Gigmoto,PH,13.7796,124.39,81.01,84,99,5.37,overcast clouds
212,Victoria,HK,22.2855,114.1577,87.33,82,93,3.0,overcast clouds
213,Meulaboh,ID,4.1363,96.1285,75.02,92,99,1.68,moderate rain
214,Jumla,NP,29.2747,82.1838,62.83,98,100,0.6,overcast clouds
215,Labuhan,ID,-6.8844,112.2051,75.16,87,84,5.88,broken clouds
216,Tuatapere,NZ,-46.1333,167.6833,42.3,88,91,3.31,overcast clouds
217,Pevek,RU,69.7008,170.3133,40.15,77,97,2.82,overcast clouds
218,Vestmanna,FO,62.1564,-7.1664,50.92,93,75,13.8,broken clouds
219,Cidreira,BR,-30.1811,-50.2056,63.36,97,100,9.42,moderate rain
220,Stornoway,GB,58.2093,-6.3865,54.93,88,38,1.14,scattered clouds
221,Harper,LR,4.375,-7.7169,74.75,78,100,8.84,overcast clouds
222,Jojoima,SL,7.8792,-10.7878,69.73,96,87,2.84,overcast clouds
223,Agadez,NE,19.75,10.25,91.31,21,67,4.03,broken clouds
224,San Ramon,US,37.7799,-121.978,89.94,51,0,14.97,clear sky
225,Pascagoula,US,30.3658,-88.5561,91.04,69,75,4.61,broken clouds
226,Luderitz,NA,-26.6481,15.1594,53.55,88,62,1.54,broken clouds
227,Budapest,HU,47.498,19.0399,74.82,49,0,6.91,clear sky
228,Bonavista,CA,48.6499,-53.1147,54.0,87,85,16.51,overcast clouds
229,Biloela,AU,-24.4167,150.5,53.06,63,0,4.63,clear sky
230,Severodvinsk,RU,64.5635,39.8302,60.91,85,96,5.14,overcast clouds
231,Lorengau,PG,-2.0226,147.2712,81.95,80,53,14.03,broken clouds
232,Baruun-Urt,MN,46.6806,113.2792,59.74,67,45,7.34,scattered clouds
233,Shimoda,JP,34.6667,138.95,81.91,83,61,2.91,broken clouds
234,Mount Gambier,AU,-37.8333,140.7667,39.38,89,9,2.53,clear sky
235,Northampton,US,40.8754,-75.2499,83.44,70,87,1.99,overcast clouds
236,Kodiak,US,57.79,-152.4072,65.71,42,0,8.05,clear sky
237,Murgab,TM,37.4966,61.9714,80.47,44,0,0.0,clear sky
238,Acarau,BR,-2.8856,-40.12,78.84,75,63,15.66,broken clouds
239,Babahoyo,EC,-1.8167,-79.5167,87.08,51,85,4.36,overcast clouds
240,Namibe,AO,-15.1961,12.1522,61.11,83,21,7.31,few clouds
241,Moron,AR,-34.6534,-58.6198,54.97,68,4,10.47,clear sky
242,Ningxiang,CN,37.34,111.2052,64.98,63,63,5.32,broken clouds
243,Rosario,AR,-32.9468,-60.6393,57.94,44,0,13.8,clear sky
244,Islip,US,40.7298,-73.2104,84.25,84,75,13.8,broken clouds
245,Gayeri,BF,12.6497,0.4931,78.69,75,63,11.01,broken clouds
246,Qingdao,CN,36.0986,120.3719,76.6,94,0,2.24,clear sky
247,Port Shepstone,ZA,-30.7414,30.455,65.14,88,69,12.24,broken clouds
248,Gao,ML,16.6362,1.637,77.0,68,100,9.93,moderate rain
249,Odienne,CI,9.51,-7.5692,70.84,94,44,3.78,light rain
250,Umm Lajj,SA,25.0213,37.2685,88.97,42,83,7.49,broken clouds
251,Eldorado,BR,-23.7869,-54.2836,74.08,42,93,4.59,overcast clouds
252,Prabumulih,ID,-3.45,104.25,74.86,92,100,2.86,light rain
253,San Cristobal,VE,7.7669,-72.225,71.78,77,95,4.54,overcast clouds
